nohup: ignoring input
nohup: ignoring input
(300, 1971, 2)
(300, 1971, 2)
(590100, 5, 2)
Step: 9200, Loss: 76632.078125, Current Best Loss: inf, Computation time: 290.70565724372864
Step: 9300, Loss: 80879.09375, Current Best Loss: inf, Computation time: 290.7491729259491
Step: 9400, Loss: 78288.375, Current Best Loss: inf, Computation time: 289.9444303512573
Step: 9500, Loss: 77497.1875, Current Best Loss: inf, Computation time: 291.0730230808258
Step: 9600, Loss: 80247.421875, Current Best Loss: inf, Computation time: 289.79919385910034
Step: 9700, Loss: 77794.7734375, Current Best Loss: inf, Computation time: 289.7744069099426
Step: 9800, Loss: 82951.421875, Current Best Loss: inf, Computation time: 286.3876762390137
Step: 9900, Loss: 73836.7734375, Current Best Loss: inf, Computation time: 286.3797347545624
Step: 10000, Loss: 80326.4140625, Current Best Loss: inf, Computation time: 287.14186334609985
Step: 10100, Loss: 76468.328125, Current Best Loss: inf, Computation time: 286.944552898407
Step: 10200, Loss: 74518.21875, Current Best Loss: inf, Computation time: 287.18858766555786
Step: 10300, Loss: 77057.296875, Current Best Loss: inf, Computation time: 288.19498348236084
